Condition,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8,Dimension 9,Dimension 10,Dimension 11,Dimension 12,Dimension 13,Dimension 14,Dimension 15,Dimension 16,Dimension 17,Dimension 18,Dimension 19,Dimension 20,Dimension 21,Dimension 22,Dimension 23,Dimension 24,Dimension 25,Dimension 26,Dimension 27,Dimension 28,Dimension 29,Dimension 30
Abdominal Aortic Aneurysm,-0.29847,-0.08388,-0.01052,-0.05421,-0.00586,-0.03301,-0.01877,-0.00572,-0.01984,-0.01349,-0.00139,-0.02514,-0.00328,-0.0238,-0.0191,-0.00389,-0.00671,-0.0058,-0.0148,-0.00356,-0.00818,-0.01027,-0.01867,-0.01897,-0.00463,-0.00458,-0.01427,-0.00339,-0.00108,-0.00564
Abdominal Hernia,-0.07875,-0.0183,-0.00447,-0.00225,-0.01578,-0.00578,-0.00885,0.00188,-0.00297,-0.00791,-0.00521,-0.00231,0.00031,-0.02022,-0.00511,-0.00703,0.0022,-0.00421,0.00218,-0.0009,-0.00205,-0.00287,0.00019,-0.00337,0.00189,-0.00094,-0.00057,0.00058,-0.00212,0.0006
Acne,0.09803,-0.0111,-0.00629,-0.01555,0.02795,0.00817,-0.00448,0.01131,0.00112,-0.00262,-0.00225,0.00146,-0.00566,0.00151,0.00199,0.00096,0.00193,-0.00284,0.0001,-0.0005,-0.00087,-0.00087,0.00064,-0.00056,-0.00211,-0.00314,0.00034,0.00065,0.00139,-0.00043
Alcohol Misuse,0.00271,0.02484,-0.0612,-0.01003,-0.00391,-0.01285,0.0028,-0.02411,-0.00398,-0.00948,0.01324,0.00134,0.00616,-0.01303,-0.00021,0.00472,-0.0074,0.0021,-0.00089,0.00136,-0.00126,-0.00049,-0.00526,0.00279,-0.0028,-0.00358,0.00728,0.00248,0.0034,-0.00029
Alcoholic liver disease,-0.13267,0.22527,-0.636,-0.10521,-0.14376,-0.03281,0.01417,0.01019,0.0271,-0.00922,0.01609,-0.01595,-0.00704,-0.02817,0.05126,0.03893,-0.02514,-0.00202,-0.0028,0.00669,-0.01027,-0.00822,-0.03169,0.00944,-0.01493,-0.02166,0.03602,0.00789,0.02496,0.00464
Allergic and chronic rhinitis,0.0234,-0.00732,-0.00494,0.00764,0.01695,0.00298,-0.00602,0.01306,0.00306,-0.00649,-0.00832,0.00484,-0.0074,-0.00302,0.00212,0.00187,0.00015,-0.00549,-0.01036,0.00189,-0.00146,0.00373,0.00401,0.00079,-0.00324,0.00154,0.00125,-0.00097,0.00046,0.00011
Alopecia areata,0.03533,-0.00054,-0.00549,0.00294,0.01256,0.00066,-0.00106,0.00552,0.00258,-0.00189,-0.00719,0.00461,-0.0038,0.00382,-0.00366,0.006,-0.00214,0.00084,-0.00486,0.00153,-0.00273,0.00213,0.00269,0.00104,-0.00493,-0.00279,0.00325,0.002,0.00065,-0.00313
Anaemia_other,-0.14755,-0.0195,-0.02165,-0.00151,0.01908,0.02391,-0.0011,0.00665,-0.00461,0.00158,-0.00507,0.00721,0.00126,0.0124,-0.0103,-0.00559,-0.00496,-0.00375,0.00506,0.00162,0.00124,-0.00718,0.00038,-0.00061,-0.00625,-0.00237,-0.0016,-0.00118,0.0047,-0.00195
Angiodysplasia of colon,-0.28159,-0.03653,-0.09833,-0.01313,0.00254,0.01884,-0.00226,0.02382,-0.00522,-0.00704,-0.01588,0.02145,-0.00839,0.00247,-0.01929,-0.03107,-0.0242,-0.00603,0.01675,-0.02011,0.00699,-0.01714,0.005,-0.00973,-0.00618,0.00309,-0.02287,-0.00757,0.00933,-0.00044
Ankylosing spondylitis,-0.05311,-0.01324,-0.01053,0.0233,-0.00106,-0.00408,-0.01442,0.02023,0.00469,-0.00094,-0.00851,-0.00173,0.02302,-0.01652,-0.04834,0.03825,-0.0106,-0.0066,0.04092,0.01994,-0.06874,0.00701,0.00704,0.03385,0.03399,0.0243,-0.01498,0.00518,0.01081,0.01392
Anterior and Intermediate Uveitis,-0.08697,-0.00984,-0.00153,0.0171,-0.00333,0.0252,-0.00272,0.0111,0.00759,-0.00388,-0.00332,-0.00067,0.02278,-0.00104,-0.01727,0.01668,0.00085,-0.00902,0.01818,0.01258,-0.05196,0.02118,0.00066,0.03082,0.0182,0.00478,-0.01323,0.00184,0.00808,0.00753
Anxiety disorders,0.01456,-0.00225,-0.02279,0.02294,0.03323,-0.00493,0.00355,-0.01786,-0.00511,-0.0094,0.00963,0.00493,-0.00076,0.00309,0.00193,0.0004,0.007,-0.00054,0.00293,-0.00243,-0.00161,0.00077,-0.00426,-0.00317,0.00256,0.0019,0.00095,-0.0027,-0.00054,0.00028
Aplastic anaemias,-0.20118,0.01529,-0.24831,-0.07162,-0.04206,0.0635,-0.00774,0.05095,-0.02469,0.05314,-0.04881,0.02206,0.01497,0.07024,-0.16057,-0.10454,0.09243,-0.00612,-0.00864,-0.00171,0.03051,0.00368,-0.02544,-0.01496,-0.03243,0.04579,-0.03802,-0.00189,0.06301,-0.01452
Asbestosis,-0.33261,-0.15863,-0.05561,-0.07386,-0.03757,-0.10064,-0.85557,-0.22193,0.13678,0.10126,0.03829,-0.0268,-0.01096,0.08338,0.02909,0.00857,0.01848,0.00364,0.02047,0.00889,0.00799,0.00148,0.01147,0.01381,-0.00369,-0.00215,0.00613,-0.00366,0.00107,-0.00105
Asthma,0.02351,-0.00613,-0.0086,0.00273,0.02178,0.00325,-0.00535,0.00598,0.00106,-0.0046,-0.00571,0.00511,-0.00472,-0.00352,0.00051,0.00242,-0.00504,-0.00559,-0.01331,0.00248,-4e-05,0.00244,0.00159,0.001,-0.00133,0.0033,-0.00011,-0.00254,-0.00057,0.00013
Atrial Fibrillation,-0.25817,-0.07315,-0.00556,-0.04269,-0.00014,0.00418,0.01011,-0.00237,0.00535,0.02297,0.01151,0.02408,-0.00662,-0.00952,0.00298,-0.00071,0.0023,-0.00386,0.00159,-0.00238,0.00097,-0.00249,0.00023,-0.00063,-0.00095,0.00053,3e-05,-0.0014,0.0002,0.00091
Atrioventricular blocks,-0.26189,-0.07456,-0.00765,-0.03555,0.0064,0.0015,-0.00337,0.00194,0.00887,0.00808,0.00031,0.02141,0.00363,-0.02533,0.00608,-0.00748,0.01642,-0.00793,0.00873,-0.00308,-0.00195,-0.007,0.00426,0.00166,-0.00108,-0.00493,-0.00163,0.00345,0.00025,-0.00294
Autism and Asperger's syndrome,0.10856,-0.0031,-0.01298,-0.04032,0.05578,0.03492,0.0233,-0.10865,0.01349,0.03553,-0.13358,-0.01814,0.0093,-0.02063,0.01634,-0.00406,0.0058,0.0038,0.00233,-0.00482,0.00276,0.00111,0.00719,-0.01371,0.01595,0.01384,0.00788,-0.02874,0.02007,0.01118
Autoimmune liver disease,-0.12007,0.03499,-0.20097,0.0072,-0.04632,0.03475,0.00525,0.05973,0.01233,0.02688,-0.02284,-0.00111,0.01041,0.06909,-0.02635,-0.00484,-0.00969,0.01864,0.01582,0.0057,-0.0317,-0.00479,0.05222,-0.0448,0.02576,0.01622,-0.0158,-0.01485,-0.01919,-0.00078
Autonomic Neuropathy,-0.12654,0.02199,-0.03409,0.09426,0.10653,0.00849,-0.01055,0.04311,-0.0043,0.08282,0.01584,-0.05824,0.0344,-0.05534,0.00657,-0.01227,-0.00538,0.04508,0.00699,0.00833,0.00188,0.00366,-0.00149,0.00843,-0.02817,0.00483,-0.0088,-0.00861,-0.00637,0.00267
Barrett's oesophagus,-0.18625,-0.03413,-0.04957,0.04473,-0.0111,-0.00286,-0.02245,0.00351,-0.00918,-0.04749,-0.02903,0.01344,-0.01382,-0.01913,-0.00549,-0.04584,-0.06347,-0.00819,0.04062,-0.01528,0.02229,0.01662,3e-05,0.00386,1e-05,-0.00446,-0.01304,-0.00301,0.0015,0.00047
Benign Prostatic Hyperplasia,-0.19469,-0.0407,0.00231,-0.00853,-0.02288,-0.00968,-0.02291,0.00487,-0.00182,-0.02026,-0.00922,-0.01008,-0.00093,-0.03987,-0.00792,-0.01205,0.01405,-0.01035,0.00301,-0.00186,-0.00441,-0.00495,0.00082,-0.00859,0.00152,-0.00484,-0.00259,0.00416,-0.00131,0.00028
Benign essential tremor,-0.13367,-0.02972,-0.01391,0.02524,0.00834,0.01575,-0.0053,-0.00311,0.00359,-0.01641,-0.00163,-0.0036,0.00454,-0.00934,0.00278,-0.00134,0.0062,0.00014,-0.00421,0.00272,0.00477,-0.00852,-0.00023,-0.00915,0.00166,0.00141,0.00137,0.00637,-0.00562,-0.00029
Bipolar affective disorder and mania,-0.01214,0.03678,-0.03812,0.03169,0.05319,-0.01311,0.02839,-0.12406,-0.01625,-0.00565,0.01145,0.00947,0.02482,-0.00039,-0.02108,8e-05,0.00686,-0.01833,-0.01153,0.0025,0.0025,0.00214,0.04051,-0.00113,-0.02244,-0.00786,-0.01371,0.00857,0.0024,-0.00352
Bronchiectasis,-0.17963,-0.06283,-0.03197,0.03069,0.00852,0.01338,-0.03597,0.0017,-0.00098,-0.0081,-0.01236,0.02357,0.01382,-0.00311,-0.01746,0.00667,-0.03592,0.00505,-0.04445,0.00182,-0.00684,0.01442,-0.00894,-0.01706,0.008,0.01524,-0.00283,-0.00144,-0.01142,0.00113
COPD,-0.18498,-0.03504,-0.029,0.00188,0.00691,-0.00497,-0.01826,-0.01572,-0.01189,-0.00665,0.00228,0.00563,0.00472,-0.00705,-0.00746,0.00778,-0.02025,0.00142,-0.02273,0.00265,-0.0022,0.00302,-0.01058,-0.00675,0.00029,0.00696,-0.00379,0.00029,-0.00548,-0.0021
Cardiomyopathy_other,-0.26069,-0.08128,-0.02115,-0.11782,0.05053,-0.09172,0.03149,0.00698,-0.00379,0.10229,0.01177,0.16635,-0.00777,-0.04198,0.02777,0.00472,0.01236,0.00198,0.04007,0.11974,0.0291,0.04318,0.00207,-0.0199,0.0199,-0.00571,-0.00087,0.00464,0.00025,-0.00828
Cataract,-0.22779,-0.03539,0.00186,-0.00359,-0.00504,0.04063,0.00238,0.00067,0.00721,-0.00406,0.00304,-0.00478,0.01448,0.00193,0.00452,0.0023,0.00174,-0.00726,-5e-05,-0.00018,-0.00303,0.00441,-0.00238,0.00221,-0.00035,-0.00119,-0.0005,-0.00081,0.00011,-0.00118
Cerebral Palsy,0.05258,-0.01052,-0.00948,-0.02605,0.02561,0.06005,0.03268,-0.11542,0.03129,0.05347,-0.18758,-0.03618,-0.01324,-0.00672,0.02527,-0.00582,-0.00146,0.03027,0.01501,0.01362,-0.00118,0.00326,-0.01891,0.0081,0.01003,-0.00115,-0.00267,0.01998,-0.00318,-0.00137
Chronic Cystitis,-0.08928,-0.03494,-0.02912,0.08081,0.04122,0.0158,0.00266,0.01045,0.00123,-0.0084,-0.00539,0.00282,-0.00736,0.02277,0.01294,-0.00274,0.01547,0.00295,0.00382,0.0078,0.00399,-0.01057,0.00434,0.00114,0.00234,-0.01435,-0.00968,0.02515,-0.00813,0.01244
Chronic Fatigue Syndrome,-0.03999,0.00356,-0.04569,0.15121,0.11065,-0.03226,-0.00066,0.04049,-0.00045,0.10169,0.01364,-0.05266,0.01989,-0.02506,0.00262,-0.00872,-0.00724,-0.01068,0.00065,-0.00211,0.00253,0.00156,-0.0002,-0.0006,-0.0022,0.00179,0.00184,0.00141,-0.00078,0.00061
Chronic Kidney Disease,-0.25565,-0.03169,0.00485,-0.01588,-0.00101,0.01978,0.00788,-0.00148,0.00235,0.00608,0.00482,0.00306,0.00345,0.00479,-0.00105,-3e-05,0.00029,-0.00619,-0.00036,0.00141,0.00145,-0.00389,-0.00048,-0.00127,-0.00278,-0.00389,-0.00148,-0.00495,0.00117,0.00201
Chronic primary pain,-0.06001,0.01304,-0.06358,0.21098,0.15587,-0.0452,-0.00068,0.05654,-0.00059,0.14779,0.01926,-0.07715,0.03134,-0.03847,0.00221,-0.012,-0.01305,-0.01133,0.00094,-0.00177,0.00448,0.00098,-0.00051,0.00082,-0.00354,0.0024,0.00141,0.0012,-0.00107,0.00075
Chronic sinusitis,-0.01896,-0.00493,-0.01068,0.04376,0.01783,-0.00597,-0.0046,0.01413,0.0014,-0.00942,-0.00606,0.0083,-0.01027,0.00277,0.00364,0.00115,0.00532,-0.00078,-0.00571,0.00068,-0.00394,0.00574,0.00299,-6e-05,-0.00193,0.00156,0.00142,9e-05,0.0001,0.00048
Chronic viral hepatitis,0.02145,0.04517,-0.12004,-0.02974,0.00467,-0.00464,0.01115,-0.05599,-0.01694,-0.00937,0.02753,0.00184,0.03334,-0.01844,-0.02929,-0.00699,-0.01248,0.00406,-0.01371,0.00604,0.00586,0.00085,0.02733,0.02635,-4e-05,-0.00879,-0.00573,0.01769,-0.01506,0.00194
Cirrhosis,-0.16793,0.22774,-0.66973,-0.1304,-0.14687,-0.0063,0.0134,0.03936,0.02843,0.00827,0.00384,-0.01962,-0.0023,-0.00352,0.03747,0.02245,-0.00507,-0.00169,-0.00182,0.00178,-0.00527,-0.00331,-0.00652,-5e-05,-0.00459,-0.00794,0.01049,0.00273,0.0075,0.00239
Coeliac disease,-0.01898,-0.01879,-0.02133,0.02203,0.02762,0.02162,-0.00332,0.01605,0.0028,-0.00401,-0.01279,0.00465,0.00026,0.02065,-0.00741,-0.00795,-0.01979,0.00819,0.01482,0.00281,0.00021,-0.00171,0.00274,-0.0124,-0.01011,0.00061,0.00684,0.00403,-0.00068,-0.00411
Collapsed vertebra,-0.23008,-0.10652,-0.05153,0.03619,-0.01363,0.07332,0.00986,-0.0065,-0.00219,-0.0076,0.01028,0.00351,0.03515,0.03576,0.00449,0.0138,-0.03048,0.02035,-0.01477,0.008,0.02199,-0.00039,-0.00427,-0.01081,-0.00109,0.01915,0.01289,0.00188,-0.00194,0.00305
Congenital Septal Defect,0.01458,-0.03616,-0.01178,-0.03432,0.02622,0.01571,0.01573,-0.02293,0.01784,0.04638,-0.0431,0.02699,-0.03181,-0.01281,0.00658,-0.00242,-0.00105,0.01858,0.00365,-0.02765,-0.01439,-0.00698,-0.00714,0.00654,0.00421,0.00164,0.00418,0.00898,-0.0154,-0.00641
Coronary Heart Disease (not otherwise specified),-0.31109,-0.06258,0.00207,-0.07971,0.044,-0.07478,0.01163,0.01032,-0.00425,-0.01325,-0.00832,-0.02346,0.00409,0.01157,0.00224,0.00194,0.00124,0.00251,2e-05,-0.00106,-0.00062,0.00154,0.00154,0.00129,-0.00021,0.00036,0.00134,0.00067,-0.0002,0.00058
Crohn's disease,-0.01279,-0.01487,-0.02467,0.01728,0.02254,0.01457,-0.00855,0.01995,-0.00396,-0.00745,-0.01117,0.00608,0.00059,0.01561,-0.04113,0.00383,-0.03105,-0.01116,0.04141,0.03579,-0.05911,-0.04471,0.01607,-0.01211,-0.00917,0.03908,0.01761,0.00308,-0.00646,0.00014
Cystic Fibrosis,-0.0084,0.01749,-0.03912,-0.00085,0.02378,0.03488,-0.01014,0.01935,-0.00098,0.00067,-0.00839,0.01158,0.00926,0.01182,0.00015,-0.00404,-0.02296,0.01853,-0.01322,-0.00346,-0.00137,0.02381,0.0062,-0.0215,0.02048,0.02343,0.00432,0.01199,-0.0164,0.01075
Dementia,-0.2144,-0.06905,-0.00216,-0.01273,-0.00703,0.05552,0.01721,-0.02006,0.01874,-0.00088,0.01407,-0.0222,0.00419,0.01005,0.00476,0.00107,0.00063,-0.00677,0.00297,0.00413,0.00791,-0.00566,-0.0011,-0.00363,-0.00319,-0.00134,0.00042,0.00426,-0.00395,-0.00092
Depression,0.00109,0.00319,-0.0236,0.02498,0.03378,-0.00628,0.00398,-0.01994,-0.00551,-0.00866,0.01038,0.00422,-0.00023,0.00282,0.0009,0.00066,0.00623,-0.00032,0.00225,-0.0018,-0.00138,0.00028,-0.00397,-0.0026,0.00254,0.00179,0.00057,-0.00229,-0.00074,0.00014
Dermatitis,0.00802,-0.00934,-0.00497,0.00305,0.01275,0.00565,-0.00415,0.00934,0.00246,-0.00444,-0.00697,0.00239,-0.00459,-0.00166,-0.00071,0.00531,0.00153,-0.00345,-0.00453,0.00065,-7e-05,0.00123,0.00241,-0.00024,-0.00318,-0.00054,0.0013,-6e-05,0.00049,7e-05
Diabetes Mellitus_other or not specified,-0.21687,0.11577,0.03029,-0.03066,0.03595,0.02435,-0.00814,0.00558,-0.00152,-0.00088,0.00168,0.0019,-0.00047,0.00049,0.00132,-0.00062,-0.00148,-0.00482,8e-05,-0.00225,0.0016,0.00083,0.00102,-0.00248,0.00452,0.00087,0.00221,0.00314,-0.00014,0.00065
Diabetic Eye Disease,-0.28182,0.15647,0.04165,-0.05288,0.06252,0.05012,-0.01499,0.01475,-0.00103,-0.0049,0.00435,0.00241,0.00394,-0.00187,0.00407,-0.00137,-0.00033,-0.0003,0.00322,-0.00421,0.00146,0.00361,0.00187,-0.00405,0.00442,0.00168,0.00334,0.00461,-0.00015,0.00084
Diabetic Neuropathy,-0.42809,0.20821,0.02716,-0.07161,0.15468,0.10375,-0.04257,0.04636,-0.00789,-0.03975,0.00538,0.00312,0.02523,-0.05728,0.0121,-0.00044,0.02121,0.11121,0.01406,0.01355,-0.0069,8e-05,-0.00057,0.01358,-0.0486,0.001,-0.02052,-0.02643,-0.00296,-0.00149
Diaphragmatic hernia,-0.15919,-0.02749,-0.03302,0.05233,0.00517,0.00084,-0.00786,0.00461,-0.00128,-0.02685,-0.01503,0.00891,-0.00664,-0.00197,-0.00024,-0.01896,-0.02707,-0.0028,0.0154,-0.00503,0.00895,0.00618,0.00037,0.0032,0.00076,-0.00036,-0.00403,-0.00058,0.00023,0.0009
Dilated cardiomyopathy,-0.25294,-0.07428,-0.04589,-0.13176,0.03937,-0.09402,0.03779,0.00075,-0.00299,0.14389,0.02602,0.23993,-0.01259,-0.06995,0.04121,0.01021,0.0132,-0.00201,0.05483,0.16722,0.04223,0.05506,-0.00281,-0.02753,0.02426,-0.01032,0.00134,0.00576,0.00303,-0.01198
Diverticular Disease,-0.19225,-0.03843,-0.01542,0.03751,-0.00596,0.00792,-0.0036,0.00392,-0.0006,-0.01567,-0.00507,0.00379,0.00032,-0.00222,0.00076,-0.00521,-0.00572,-0.00366,0.00344,-0.00127,0.00312,-0.00167,0.0001,-0.00068,0.00133,0.00062,0.00039,-0.0017,-0.00052,0.00092
Down's syndrome,0.01714,-0.01152,0.0014,-0.04338,0.02923,0.10796,0.07034,-0.21456,0.08062,0.14719,-0.40827,-0.0229,-0.02639,-0.00213,0.04954,0.02861,0.01159,0.0412,0.02548,-0.02532,-0.02565,-0.01801,-0.05143,-0.00193,-0.01173,-0.01871,0.01763,0.02309,-0.0435,-0.01938
Dysmenorrhoea,0.07487,-0.00547,-0.01429,0.02053,0.04862,0.00352,-0.00232,0.01327,0.00035,-9e-05,-0.00122,0.00633,-0.01607,0.01732,0.00687,0.00074,0.00866,-0.00332,0.00264,-0.00023,-0.0032,-0.00277,-0.00422,0.00157,-0.00333,-0.00786,-0.0053,0.00231,0.00098,-0.00166
Eating Disorders,0.08614,-0.01091,-0.03944,0.01915,0.06756,0.00463,0.00509,-0.02928,-0.01084,-0.01073,0.02029,0.0068,0.00629,0.00999,0.00133,-0.00155,0.01189,0.00154,0.00982,-0.00582,-0.00433,0.002,0.00038,-0.01334,0.00076,-0.00551,0.0003,-0.00216,0.00437,-0.00139
Endometrial hyperplasia and hypertrophy,-0.07103,0.01127,-0.00654,0.07177,0.01464,0.00815,0.00842,0.01033,-0.00401,0.00615,-0.00428,0.0166,-0.01323,0.04062,0.01554,0.00464,0.01166,0.00381,-0.00073,0.00461,0.00487,-0.00745,0.00057,0.0168,-0.0036,-0.00727,-0.00235,0.00224,-0.00058,0.01704
Endometriosis,0.03748,-0.00348,-0.0179,0.05517,0.0444,-0.00435,0.00075,0.01584,-0.00115,0.00489,0.004,0.00711,-0.01647,0.02613,0.00982,-0.00159,0.01117,0.00254,0.00842,0.00046,-0.00557,-0.00367,-0.00522,0.00314,-0.00292,-0.01042,-0.00836,0.00605,-4e-05,-0.00045
Enteropathic arthropathy,-0.04568,-0.02323,-0.05632,0.07512,0.05425,0.02612,-0.02843,0.06391,-0.00676,-0.00494,-0.03948,0.0136,0.01618,0.05442,-0.17052,0.03592,-0.11039,-0.03389,0.17653,0.16597,-0.30419,-0.20542,0.09519,-0.05555,-0.01688,0.21626,0.09676,0.01391,-0.03096,0.01095
Enthesopathy and synovial disorder,-0.06143,-0.00024,-0.00119,0.02729,-0.00342,-0.00535,-0.00353,0.00749,0.00141,-0.00571,-0.00284,0.00199,-0.00104,-0.00386,0.00039,0.00129,0.00361,0.00283,-0.00123,0.00039,-0.0003,-3e-05,0.00113,0.00016,0.00121,0.00045,0.00086,0.00056,0.00019,0.00013
Epilepsy,-0.01814,-0.00749,-0.02084,-0.00666,0.01516,0.02161,0.0166,-0.0535,0.00944,0.01804,-0.04461,-0.01544,-0.01332,-0.00366,0.00104,-0.00026,-0.00153,0.01323,0.00185,0.00584,-0.00109,0.00197,-0.00265,0.00147,0.00092,0.00065,0.00011,0.00691,0.0005,-0.00018
Fatty Liver,-0.11091,0.09447,-0.09563,0.02604,-0.01015,-0.03081,-0.00146,-0.00562,0.00433,-0.00912,-0.00425,0.00941,-0.01383,-0.01297,0.00648,0.01065,-0.01666,-0.00659,-0.0025,0.00417,-0.00445,-0.0073,-0.02026,0.01351,-0.0049,-0.01197,0.02111,0.00407,0.01558,0.00308
Fibromatosis,-0.14237,-0.01278,-0.00473,0.01563,-0.02493,0.00598,-0.01668,0.00772,1e-05,-0.01573,-0.00088,-0.00417,0.00817,-0.02871,0.00046,-0.00214,0.0092,0.00821,0.00297,-0.0029,-0.0032,0.00514,0.00076,-0.01045,-0.00218,-1e-05,0.00636,0.00368,-0.00122,0.00044
Folate deficiency anaemia,-0.10191,-0.00419,-0.02945,0.02309,0.03254,0.01271,0.00216,-0.01052,0.00128,0.00022,-0.00683,0.00084,-0.0067,0.01779,-0.01435,0.0004,-0.01364,-0.00859,0.00197,0.01382,-0.00539,-0.01976,-0.01015,-0.00449,-0.01861,-0.00256,0.00014,0.00116,0.00194,-0.01128
Gastritis and duodenitis,-0.08646,-0.00601,-0.03684,0.03294,0.01619,-0.00486,-0.00603,0.00476,-0.00226,-0.01905,-0.00918,0.00664,-0.00673,-0.00164,-0.00144,-0.01111,-0.01558,-0.00014,0.01,-0.00233,0.00267,0.00353,-0.00021,0.00302,-0.0003,-0.00064,-0.0014,0.00114,0.00086,-0.00025
Gastro-oesophageal reflux disease,-0.0699,-0.00654,-0.01613,0.04123,0.01158,-0.00744,-0.00513,0.00408,-0.00025,-0.01664,-0.01038,0.00674,-0.00732,-0.00104,0.00123,-0.00887,-0.00957,-0.00091,0.00592,-0.0023,0.00243,0.0047,0.00051,0.0022,0.00029,-0.0002,-0.00154,0.00034,0.00019,0.00043
Giant Cell arteritis,-0.26332,-0.08188,-0.01713,0.05345,0.00247,0.05754,0.00962,0.01017,0.022,-0.0053,0.00986,-0.00628,0.02954,0.02056,0.00625,0.0157,-0.01152,-0.00178,-0.01379,0.00085,0.00992,0.00051,0.00552,0.00572,0.00861,0.00753,0.00965,-0.03086,0.01839,-0.00719
Glaucoma,-0.19101,-0.03781,0.00736,0.00128,-0.02009,0.0502,0.0031,-0.00112,0.01159,-0.00444,0.00631,-0.01169,0.02374,-0.00155,0.00626,0.00271,0.00745,-0.01702,0.00354,0.00052,-0.01342,0.01392,-0.00566,0.00852,0.0006,-0.00479,-0.00363,-0.00148,0.00077,-0.00393
Glomerulonephritis,-0.08577,0.00133,-0.00766,-0.00527,0.0009,0.01006,-0.0005,0.00875,-0.00211,0.01879,-0.00372,0.01543,0.00322,0.00783,-0.03332,-0.00439,-0.00592,0.0089,-0.0102,0.00578,-0.01491,-0.00637,0.00484,-0.00747,0.00309,-0.0407,-0.00503,-0.0223,0.01068,0.01479
Gout,-0.17328,0.00323,0.00278,-0.01069,-0.02136,-0.01843,-0.00204,0.00137,0.00191,0.00443,-0.00203,0.00978,-0.00548,-0.01719,-0.00686,0.00166,0.00406,-0.00847,-0.00271,0.00242,-0.00173,-0.00697,-0.0036,-0.0,-0.0005,-0.00624,0.00072,-0.00774,0.0031,0.00185
HIV,0.04277,0.02076,-0.02956,-0.02492,-0.00133,-0.00212,0.00428,-0.02316,-0.01141,0.00017,0.01436,0.00275,0.01893,-0.0071,-0.03418,-0.01347,-0.00488,0.00676,-0.00333,0.00711,0.00016,0.00425,0.01188,0.02422,-0.00212,-0.00415,-0.00514,0.01297,-0.01012,0.00692
Hearing loss,-0.1077,-0.02964,-0.00415,0.01106,-0.00415,0.01278,-0.00247,-4e-05,0.00428,-0.00706,-0.00588,-0.00297,0.00303,-0.00609,0.00258,-0.00034,0.00605,-0.00354,-0.00117,-0.00093,-0.00103,0.00134,0.00028,-0.00263,-0.00024,-0.00031,0.00196,0.00068,-0.00113,0.00015
